Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn,CLTV,Gender_Male,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
78,No,Yes,No,No,0,68701,0,0,1,No Offer,0,0.0,0,8,0,0,1,0,0,1,0,0,1,39.65,39.65,0.0,20,0.0,59.65,3,1,5433,True,True,True,False,False,False,False,False,False
74,No,Yes,Yes,Yes,1,55668,1,1,8,Offer E,1,48.85,1,17,0,1,0,0,0,0,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,3,1,5302,False,True,False,True,False,False,False,True,False
71,No,Yes,No,Yes,3,47534,0,0,18,Offer D,1,11.33,1,52,0,0,0,0,1,1,1,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,1,3179,True,True,False,True,False,False,False,False,False
78,No,Yes,Yes,Yes,1,27778,1,1,25,Offer C,1,19.76,0,12,0,1,1,0,1,1,0,1,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,5337,False,True,False,True,False,False,False,False,False
80,No,Yes,Yes,Yes,1,26265,1,1,37,Offer C,1,6.33,1,14,0,0,0,0,0,0,0,1,1,76.5,2868.15,0.0,0,234.21,3102.36,2,1,2793,False,True,False,True,False,False,False,False,False
72,No,Yes,No,Yes,1,63288,0,0,27,Offer C,1,3.33,1,18,0,0,1,0,0,0,0,0,1,78.05,2135.5,0.0,10,89.91,2235.41,1,1,4638,False,True,False,True,False,False,False,False,False
76,No,Yes,Yes,Yes,2,21343,1,1,1,Offer E,1,15.28,0,30,0,0,0,0,0,0,0,1,1,70.45,70.45,0.0,0,15.28,85.73,2,1,3964,False,True,False,True,False,False,False,False,True
66,No,Yes,Yes,No,0,10558,1,6,58,Offer B,0,0.0,0,24,0,1,1,0,0,1,0,1,1,45.3,2651.2,40.95,0,0.0,2610.25,1,1,5444,True,True,True,False,False,False,False,False,False
70,No,Yes,No,Yes,2,23742,0,0,15,Offer D,1,44.07,1,19,0,0,0,0,0,0,0,1,1,74.45,1145.7,0.0,0,661.05,1806.75,2,1,5717,False,True,False,True,False,False,False,False,True
77,No,Yes,No,Yes,2,32369,0,0,7,Offer E,1,26.95,0,18,1,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2,2,1,4419,False,True,False,True,False,False,False,False,False
78,No,Yes,No,Yes,1,57146,0,0,11,Offer D,1,11.59,0,29,0,1,0,0,1,1,0,0,1,95.0,1120.3,0.0,120,127.49,1367.79,1,1,5980,False,True,False,True,False,False,False,False,False
65,No,Yes,No,No,0,33817,0,0,15,Offer D,1,29.11,0,29,0,1,0,0,0,0,0,1,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,4616,True,True,False,True,False,False,False,False,False
77,No,Yes,Yes,No,0,62660,1,1,1,Offer E,0,0.0,0,12,0,1,0,0,1,0,0,1,0,40.2,40.2,0.0,0,0.0,40.2,2,1,5828,True,True,True,False,False,False,False,False,False
67,No,Yes,No,No,0,30802,0,0,3,Offer E,0,0.0,0,28,0,0,1,0,0,1,1,1,1,41.15,132.2,0.0,0,0.0,132.2,2,1,2314,True,True,True,False,False,False,False,False,False
68,No,Yes,No,No,0,46342,0,0,13,Offer D,1,32.68,1,11,0,1,1,0,1,1,0,0,1,106.9,1364.3,0.0,10,424.84,1799.14,1,1,2494,True,True,False,False,False,False,False,False,False
68,No,Yes,No,No,0,49474,0,0,16,Offer D,1,9.43,0,9,0,0,0,1,1,1,1,1,1,94.45,1511.2,0.0,0,150.88,1662.08,1,1,3810,False,True,False,True,False,False,False,False,False
66,No,Yes,No,No,0,16486,0,0,8,No Offer,1,1.78,0,7,0,1,0,0,0,0,0,1,1,74.5,606.55,0.0,0,14.24,620.79,2,1,4345,True,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,34902,0,0,24,Offer C,1,30.87,1,15,0,0,0,0,0,0,0,1,1,76.1,1712.7,0.0,0,740.88,2453.58,2,1,2018,True,True,False,True,False,False,False,False,False
74,No,Yes,No,No,0,34902,0,0,4,Offer E,1,31.61,1,2,0,0,0,0,1,1,0,1,1,95.45,396.1,0.0,0,126.44,522.54,3,1,3677,False,True,False,True,False,False,False,False,False
76,No,Yes,Yes,No,0,34902,1,2,32,Offer C,1,47.34,1,10,0,0,0,0,0,0,0,1,1,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,4105,True,True,False,True,False,False,False,False,False
