Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason,Churn_Risk
4759-TRPLW,Male,40,No,No,No,No,0,United States,California,Long Beach,90822,33.778436,-118.118648,425,Q3,0,0,1,Offer E,1,29.63,0,Yes,Fiber Optic,15,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,70.4,70.4,0.0,0,29.63,100.03,1,Churned,Yes,70,4238,Competitor,Competitor had better devices,0.92
7153-OANIO,Male,48,No,No,No,No,0,United States,California,Mendocino,95460,39.305545,-123.743697,2229,Q3,0,0,1,Offer E,1,27.58,0,Yes,Fiber Optic,16,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,69.95,69.95,0.0,0,27.58,97.53,1,Churned,Yes,79,5066,Other,Moved,0.81
4432-ADRLB,Male,46,No,No,No,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239,Q3,0,0,2,,1,24.9,0,Yes,DSL,11,0,0,0,0,0,0,0,0,Month-to-Month,0,Mailed Check,44.65,74.9,0.0,10,49.8,134.7,1,Churned,Yes,91,4655,Competitor,Competitor made better offer,0.96
7394-FKDNK,Female,62,No,No,Yes,No,0,United States,California,San Diego,92126,32.886925,-117.152162,74232,Q3,1,3,9,Offer E,1,26.51,0,Yes,Fiber Optic,18,0,0,0,0,1,1,1,1,Month-to-Month,0,Bank Withdrawal,89.45,853.1,0.0,0,238.59,1091.69,2,Churned,Yes,91,4971,Competitor,Competitor made better offer,0.93
4140-MUHUG,Female,73,No,Yes,No,No,0,United States,California,Oak View,93022,34.404544,-119.302118,6503,Q3,0,0,3,,1,18.38,0,Yes,Fiber Optic,20,0,0,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,86.85,220.95,0.0,0,55.14,276.09,2,Churned,Yes,70,3561,Attitude,Attitude of service provider,0.94
2656-TABEH,Male,57,No,No,Yes,No,0,United States,California,Temecula,92591,33.540604,-117.10909,25655,Q3,1,1,4,,1,28.22,1,Yes,Fiber Optic,10,0,1,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,100.2,420.2,0.0,0,112.88,533.0799999999999,2,Churned,Yes,82,2650,Dissatisfaction,Service dissatisfaction,0.9
3494-JCHRQ,Male,38,No,No,No,No,0,United States,California,Van Nuys,91411,34.17847,-118.459472,23646,Q3,0,0,1,,1,27.89,0,Yes,Fiber Optic,20,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.05,70.05,0.0,0,27.89,97.94,2,Churned,Yes,69,2699,Attitude,Attitude of support person,0.97
5960-WPXQM,Male,24,Yes,No,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,0,0,1,,1,31.34,0,Yes,Fiber Optic,52,0,0,0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,79.05,79.05,0.0,0,31.34,110.39,1,Churned,Yes,80,3555,Competitor,Competitor made better offer,0.95
7613-LLQFO,Male,41,No,No,No,No,0,United States,California,Amador City,95601,38.431407,-120.8421,222,Q3,0,0,12,,1,12.36,1,Yes,Fiber Optic,23,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,84.45,1059.55,0.0,0,148.32,1207.87,2,Churned,Yes,91,3330,Dissatisfaction,Limited range of services,0.92
3551-HUAZH,Male,68,No,Yes,No,No,0,United States,California,Brownsville,95919,39.440687,-121.263583,1237,Q3,0,0,1,Offer E,1,11.08,1,Yes,Fiber Optic,12,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.4,74.4,0.0,0,11.08,85.48,2,Churned,Yes,89,3429,Price,Price too high,0.97
